"Compra_idCompra";"Producto_idProducto";"Cantidad";"PrecioUnitario";"Descuento"
1;113;4;4092.88;0
2;4;3;0.0;0
3;65;4;18844.5;0
4;89;2;21490.3;0
5;89;4;12150.0;0
6;2;2;0.0;0
7;32;1;0.0;0
8;68;3;24154.3;0
9;110;4;34555.5;0
10;3;4;0.0;0
11;24;4;0.0;0
12;83;3;11905.7;0
13;114;2;13117.6;0
14;57;3;40984.1;0
15;79;2;38594.0;0
16;28;2;0.0;0
17;72;2;37735.8;0
18;41;2;0.0;0
19;8;4;0.0;0
20;2;2;0.0;0
21;27;2;0.0;0
22;60;2;7150.16;0
23;93;1;11791.9;0
24;91;3;34176.4;0
25;111;3;41386.1;0
26;67;2;28518.9;0
27;5;3;0.0;0
28;38;1;0.0;0
29;93;1;11791.9;0
30;103;2;22936.2;0
31;45;2;0.0;0
32;15;4;0.0;0
33;73;1;16967.0;0
34;52;1;42108.7;0
35;88;1;18531.0;0
36;17;3;0.0;0
37;4;3;0.0;0
38;126;1;49396.1;0
39;49;4;39390.4;0
40;30;3;0.0;0
41;27;4;0.0;0
42;38;1;0.0;0
43;111;1;41761.7;0
44;6;1;0.0;0
45;49;2;16005.8;0
46;60;2;7150.16;0
47;110;3;30168.0;0
48;19;4;0.0;0
49;125;2;29073.6;0
50;77;4;32092.6;0
51;44;3;0.0;0
52;55;3;43046.6;0
53;77;1;13423.2;0
54;60;4;48981.1;0
55;111;3;41386.1;0
56;55;4;4219.76;0
57;23;1;0.0;0
58;26;1;0.0;0
59;14;4;0.0;0
60;93;2;24978.4;0
61;31;1;0.0;0
62;83;2;11905.7;0
63;89;1;27803.9;0
64;53;1;47548.8;0
65;99;3;9132.55;0
66;56;1;31095.9;0
67;125;3;39032.1;0
68;82;3;33324.5;0
69;55;4;9582.58;0
70;72;2;12775.7;0
71;2;3;0.0;0
72;48;4;0.0;0
73;110;2;12340.2;0
74;84;2;28557.2;0
75;93;2;11791.9;0
76;72;3;12775.7;0
77;41;2;0.0;0
78;57;3;33765.1;0
79;54;3;15974.1;0
80;34;4;0.0;0
81;25;2;0.0;0
82;56;4;31095.9;0
